Data saved on Tue, 27 Feb 2024 at 4:22 PM
Student name(s): 
Sample: 
Frequency: 
Comments: 
 
Temp. (K)   	Ch1 (V)      	Ch2 (V)      
185.38100	0.017398	0.000081
185.72400	0.017399	0.000074
186.07200	0.017400	0.000079
186.32900	0.017400	0.000083
186.67900	0.017400	0.000090
187.01800	0.017400	0.000085
187.36600	0.017400	0.000068
187.62000	0.017401	0.000069
187.95300	0.017399	0.000074
188.28600	0.017400	0.000072
188.62700	0.017401	0.000069
188.87200	0.017401	0.000072
189.19900	0.017401	0.000076
189.53800	0.017401	0.000075
189.86200	0.017401	0.000088
190.10000	0.017401	0.000071
190.42900	0.017402	0.000066
190.74600	0.017401	0.000069
191.06800	0.017402	0.000064
191.31300	0.017401	0.000065
191.63000	0.017402	0.000074
191.94700	0.017403	0.000074
192.26100	0.017404	0.000070
192.50600	0.017402	0.000079
192.82000	0.017403	0.000061
193.13000	0.017402	0.000074
193.43700	0.017402	0.000077
193.68200	0.017404	0.000077
193.98700	0.017403	0.000079
194.29700	0.017404	0.000079
194.61200	0.017404	0.000072
194.84500	0.017405	0.000073
195.15000	0.017403	0.000101
195.45200	0.017404	0.000090
195.75700	0.017404	0.000074
195.98700	0.017405	0.000076
196.28200	0.017404	0.000066
196.58000	0.017404	0.000069
196.88200	0.017405	0.000070
197.10700	0.017406	0.000075
197.39700	0.017406	0.000066
197.69500	0.017406	0.000079
197.98700	0.017405	0.000071
198.20700	0.017406	0.000059
198.50500	0.017405	0.000062
198.79200	0.017405	0.000071
199.07500	0.017406	0.000057
199.29000	0.017405	0.000071
199.58000	0.017405	0.000064
199.86700	0.017406	0.000067
200.15000	0.017406	0.000077
200.35200	0.017406	0.000068
200.63700	0.017406	0.000066
200.92200	0.017405	0.000079
201.20000	0.017406	0.000077
201.41200	0.017406	0.000085
201.68700	0.017406	0.000084
201.96700	0.017406	0.000078
202.24200	0.017406	0.000069
202.44500	0.017406	0.000084
202.71200	0.017406	0.000084
202.99000	0.017406	0.000064
203.26500	0.017406	0.000071
203.46000	0.017407	0.000072
203.73000	0.017407	0.000071
204.00000	0.017407	0.000072
204.27000	0.017407	0.000068
204.46700	0.017407	0.000071
204.73700	0.017407	0.000066
205.00000	0.017407	0.000065
205.26200	0.017407	0.000063
205.51500	0.017407	0.000063
205.71200	0.017407	0.000062
205.97700	0.017407	0.000064
206.24000	0.017407	0.000071
206.49000	0.017407	0.000071
206.68700	0.017407	0.000056
206.94200	0.017407	0.000064
207.19500	0.017407	0.000070
